,accommodates,bathrooms,bedrooms,beds,guests_included,availability_30,number_of_reviews,number_of_reviews_ltm,review_scores_cleanliness,review_scores_location,reviews_per_month,price,has_availability,host_response_rate,instant_bookable,cancellation_policy,security_deposit,host_is_superhost,host_name,host_location,host_neighbourhood,property_type,neighbourhood,host_verifications,host_response_time,room_type,extra_people,zipcode
8121,2,1.0,1.0,1.0,1,0,67,51,8.0,10.0,4.61,56.0,0,1,1,0,0,0,579,308,28,1,1,170,3,0,0,22
8122,4,1.0,0.0,2.0,1,16,35,25,10.0,10.0,2.17,110.0,0,43,1,0,0,0,1324,126,39,1,13,135,3,0,0,28
8123,6,1.0,3.0,3.0,1,10,1,1,10.0,10.0,0.24,140.0,0,1,1,0,0,0,1067,126,2,14,0,205,3,0,1,35
8124,4,1.0,2.0,2.0,1,0,35,34,9.0,10.0,2.19,98.0,0,1,1,0,0,0,1237,282,39,1,13,126,3,0,0,28
8125,2,1.0,1.0,1.0,1,4,70,53,10.0,10.0,4.62,60.0,0,1,1,0,0,1,11,126,39,1,13,153,3,0,0,28
8126,3,1.0,1.0,2.0,2,0,1,0,4.0,10.0,0.06,90.0,0,1,0,3,57,0,305,126,34,1,1,125,3,0,1,22
8127,4,2.0,2.0,2.0,2,2,16,5,10.0,10.0,1.02,180.0,0,1,1,3,33,0,448,125,12,7,6,124,3,0,20,22
8128,2,1.0,0.0,1.0,1,4,1,0,10.0,10.0,0.07,180.0,0,0,0,3,0,0,1567,166,34,1,9,170,0,0,0,22
8129,4,1.0,1.0,3.0,4,27,0,0,10.0,10.0,1.46,90.0,0,1,0,3,0,0,1646,126,39,3,13,130,3,1,26,28
8130,2,1.0,1.0,1.0,1,0,6,0,9.0,10.0,0.37,60.0,0,1,1,3,0,0,1757,166,39,1,1,130,3,2,0,22
8131,2,1.0,1.0,2.0,1,0,27,10,10.0,9.0,1.69,35.0,0,1,1,0,0,1,1242,126,31,7,7,170,3,2,0,59
8132,4,1.0,2.0,2.0,1,3,1,0,10.0,10.0,0.06,129.0,0,1,1,4,0,0,1824,126,38,1,12,170,3,0,0,24
8133,7,2.0,2.0,4.0,5,8,66,55,10.0,10.0,4.22,91.0,0,1,0,0,0,1,106,126,14,1,3,156,2,0,1,55
